epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,run,train/rsl_loss,val/rsl_loss
63,2038.76,0.91564,0.65896,1.09644,0.72593,0.63168,0.68683,0.42069,1.44297,1.16739,1.47523,0.000241375,0.000241375,0.000241375,1_baseline_yolov8s,,
64,2070.74,0.90911,0.6482,1.08487,0.729,0.63712,0.68549,0.42362,1.4354,1.17484,1.47121,0.000235188,0.000235188,0.000235188,1_baseline_yolov8s,,
65,2102.92,0.90965,0.64352,1.08832,0.74655,0.63333,0.68804,0.41945,1.4439,1.15815,1.47721,0.000229,0.000229,0.000229,1_baseline_yolov8s,,
66,2135.01,0.90553,0.63674,1.08184,0.75833,0.61728,0.686,0.42137,1.4393,1.17703,1.47764,0.000222813,0.000222813,0.000222813,1_baseline_yolov8s,,
67,2167.18,0.89372,0.62415,1.07521,0.75487,0.62665,0.68712,0.42167,1.45202,1.17354,1.48622,0.000216625,0.000216625,0.000216625,1_baseline_yolov8s,,
68,2199.39,0.89034,0.62742,1.07626,0.73542,0.63278,0.68817,0.42347,1.44688,1.18873,1.48983,0.000210437,0.000210437,0.000210437,1_baseline_yolov8s,,
69,2231.37,0.88485,0.61282,1.06627,0.76303,0.61804,0.6863,0.42259,1.43968,1.17162,1.48041,0.00020425,0.00020425,0.00020425,1_baseline_yolov8s,,
70,2263.36,0.87029,0.61178,1.07102,0.74989,0.63908,0.69305,0.42513,1.43844,1.17327,1.48702,0.000198063,0.000198063,0.000198063,1_baseline_yolov8s,,
71,2295.49,0.88427,0.61271,1.06933,0.76041,0.6247,0.69605,0.43161,1.43726,1.16069,1.48177,0.000191875,0.000191875,0.000191875,1_baseline_yolov8s,,
72,2327.76,0.86208,0.60141,1.05791,0.76485,0.62538,0.6922,0.43093,1.43687,1.1805,1.47405,0.000185688,0.000185688,0.000185688,1_baseline_yolov8s,,
73,2359.93,0.86625,0.59856,1.06431,0.75644,0.63033,0.69288,0.42883,1.43599,1.16393,1.47307,0.0001795,0.0001795,0.0001795,1_baseline_yolov8s,,
74,2392.18,0.85917,0.58653,1.05916,0.7879,0.61714,0.69163,0.4278,1.43593,1.17446,1.47838,0.000173313,0.000173313,0.000173313,1_baseline_yolov8s,,
75,2424.02,0.85669,0.59392,1.05567,0.75709,0.63357,0.69246,0.42863,1.4304,1.15949,1.47717,0.000167125,0.000167125,0.000167125,1_baseline_yolov8s,,
76,2456.01,0.84228,0.58797,1.05091,0.76038,0.62309,0.68663,0.42425,1.43542,1.19504,1.48611,0.000160938,0.000160938,0.000160938,1_baseline_yolov8s,,
77,2488.0,0.8346,0.5759,1.05284,0.76922,0.62706,0.69171,0.42886,1.43565,1.1647,1.48754,0.00015475,0.00015475,0.00015475,1_baseline_yolov8s,,
78,2520.13,0.84192,0.57874,1.04875,0.74543,0.64718,0.68782,0.42732,1.43508,1.17259,1.48396,0.000148563,0.000148563,0.000148563,1_baseline_yolov8s,,
79,2552.23,0.83085,0.57415,1.04678,0.77397,0.62901,0.69436,0.43352,1.43299,1.16529,1.4778,0.000142375,0.000142375,0.000142375,1_baseline_yolov8s,,
80,2584.55,0.82898,0.57404,1.04357,0.78417,0.62813,0.69271,0.43222,1.42906,1.1601,1.4781,0.000136187,0.000136187,0.000136187,1_baseline_yolov8s,,
81,2616.88,0.80916,0.55943,1.03568,0.76495,0.63068,0.68881,0.4291,1.43228,1.18546,1.48755,0.00013,0.00013,0.00013,1_baseline_yolov8s,,
82,2648.92,0.80782,0.55857,1.03398,0.76697,0.62581,0.69073,0.43096,1.44067,1.17155,1.49043,0.000123812,0.000123812,0.000123812,1_baseline_yolov8s,,
83,2681.1,0.81171,0.55417,1.03604,0.78417,0.61836,0.69259,0.43199,1.43389,1.17237,1.48959,0.000117625,0.000117625,0.000117625,1_baseline_yolov8s,,
84,2713.33,0.8087,0.55163,1.03464,0.77183,0.62258,0.69415,0.43162,1.43624,1.17517,1.4871,0.000111438,0.000111438,0.000111438,1_baseline_yolov8s,,
85,2747.87,0.79532,0.53803,1.0241,0.79816,0.60755,0.69115,0.4331,1.43513,1.17368,1.48761,0.00010525,0.00010525,0.00010525,1_baseline_yolov8s,,
86,2786.53,0.7957,0.54786,1.03181,0.78769,0.61402,0.69105,0.43002,1.42549,1.18357,1.48533,9.90625e-05,9.90625e-05,9.90625e-05,1_baseline_yolov8s,,
87,2825.61,0.80058,0.54872,1.03228,0.76318,0.63324,0.69243,0.43216,1.43531,1.18345,1.49073,9.2875e-05,9.2875e-05,9.2875e-05,1_baseline_yolov8s,,
88,2865.12,0.78525,0.53989,1.02723,0.7609,0.63133,0.69148,0.432,1.43031,1.16466,1.48591,8.66875e-05,8.66875e-05,8.66875e-05,1_baseline_yolov8s,,
89,2904.63,0.778,0.52774,1.02422,0.75997,0.63236,0.69281,0.43296,1.42536,1.17897,1.48567,8.05e-05,8.05e-05,8.05e-05,1_baseline_yolov8s,,
90,2943.6,0.77209,0.524,1.01915,0.76594,0.62806,0.69164,0.43373,1.43578,1.18067,1.49599,7.43125e-05,7.43125e-05,7.43125e-05,1_baseline_yolov8s,,
91,2995.71,0.73514,0.42537,0.98097,0.75792,0.62495,0.67684,0.41809,1.45826,1.18958,1.52925,6.8125e-05,6.8125e-05,6.8125e-05,1_baseline_yolov8s,,
