run,epoch,lambda_tv,train/box_loss,train/cls_loss,train/dfl_loss,train/det_loss,train/rsl_loss,weighted_rsl_loss,ratio_rsl_to_box,ratio_rsl_to_det,metrics/mAP50(B),metrics/mAP50-95(B)
e7p__nwd-sizegate__s0,28,0.0001,1262.23,1.76531,1.55465,1265.54996,0.11018,1.1018e-05,8.728995507950215e-09,8.70609643889523e-09,0.44223,0.26141
e7p__nwd-sizegate__s0,29,0.0001,1224.39,1.7668,1.56186,1227.7186600000002,0.11709,1.1709000000000001e-05,9.563129395045697e-09,9.537201299848288e-09,0.43938,0.26106
e7p__nwd-sizegate__s0,30,0.0001,1258.07,1.72757,1.544,1261.34157,0.11932,1.1932e-05,9.484368914289349e-09,9.45976909331546e-09,0.45568,0.26662
e7p__nwd-sizegate__s0,31,0.0001,1229.48,1.71118,1.53269,1232.72387,0.12002,1.2002000000000001e-05,9.761850538439016e-09,9.736162568183255e-09,0.46716,0.2737
e7p__nwd-sizegate__s0,32,0.0001,1229.89,1.69343,1.52686,1233.11029,0.11455,1.1455000000000001e-05,9.31384107521811e-09,9.289517809473474e-09,0.4601,0.26634
e7p__nwd-sizegate__s0,33,0.0001,1213.92,1.70591,1.52694,1217.15285,0.11795,1.1795e-05,9.716455779623038e-09,9.690648138399381e-09,0.46754,0.27223
e7p__nwd-sizegate__s0,34,0.0001,1227.32,1.64202,1.50351,1230.46553,0.11251,1.1251000000000001e-05,9.167128377277322e-09,9.143693769300471e-09,0.47088,0.27854
e7p__nwd-sizegate__s0,35,0.0001,1198.22,1.67669,1.50302,1201.3997100000001,0.10835,1.0835e-05,9.042579826743003e-09,9.018647091233275e-09,0.46249,0.26878
e7p__nwd-sizegate__s0,36,0.0001,1222.08,1.6683,1.51361,1225.26191,0.11377,1.1377e-05,9.30953783713014e-09,9.285361690546635e-09,0.48461,0.28595
e7p__nwd-sizegate__s0,37,0.0001,1232.01,1.64205,1.50397,1235.15602,0.12803,1.2803000000000001e-05,1.0391961104211817e-08,1.036549212624977e-08,0.49188,0.29655
e7p__nwd-sizegate__s0,38,0.0001,1177.97,1.61128,1.4722,1181.05348,0.13142,1.3142000000000002e-05,1.1156481064882808e-08,1.1127353860385731e-08,0.48369,0.28706
e7p__nwd-sizegate__s0,39,0.0001,1178.32,1.62601,1.48738,1181.43339,0.13138,1.3138e-05,1.1149772557539548e-08,1.1120389952750532e-08,0.49656,0.29395
e7p__nwd-sizegate__s0,40,0.0001,1164.24,1.61185,1.48554,1167.33739,0.13659,1.3659e-05,1.1732117089259946e-08,1.170098732124052e-08,0.50055,0.2976
e7p__nwd-sizegate__s0,41,0.0001,1175.19,1.59008,1.46985,1178.24993,0.14965,1.4965000000000002e-05,1.2734111079910484e-08,1.2701040432058419e-08,0.48643,0.29285
e7p__nwd-sizegate__s0,42,0.0001,1172.11,1.57124,1.46419,1175.1454299999998,0.14009,1.4009e-05,1.1951949902312923e-08,1.192107771716391e-08,0.50045,0.29733
